,Регион,Год,Выброс загрезнений(тыс.тонн)
410,Алматинская,2035.0,12.938802889577346
662,Мангистауская,2035.0,80.02827657378737
550,Западно-Казахстанская,2035.0,8.27014103887177
914,Ұлытау,2035.0,105.0
326,Абай,2035.0,39.0
522,Жетісу,2035.0,13.08
746,Северо-Казахстанская,2035.0,67.16405228758174
802,Южно-Казахстанская,2035.0,125.76483516483586
886,г.Шымкент,2035.0,42.100000000000136
774,Туркестанская ,2035.0,8.009999999999764
466,Восточно-Казахстанская,2035.0,69.72401100791194
830,г. Алматы,2035.0,78.78173374612925
494,Жамбылская,2035.0,94.20808393532843
382,Актюбинская,2035.0,83.61190230478223
858,г. Астана,2035.0,78.13154454764344
578,Карагандинская,2035.0,-162.65022359821887
634,Кызылординская,2035.0,15.368317853457256
438,Атырауская,2035.0,225.54812521499844
718,Республика Казахстан,2035.0,1883.5068758304042
439,Атырауская,2036.0,230.0377020983833
327,Абай,2036.0,39.0
635,Кызылординская,2036.0,14.652115583075329
719,Республика Казахстан,2036.0,1856.984829251458
747,Северо-Казахстанская,2036.0,66.94248366013079
551,Западно-Казахстанская,2036.0,6.465909872721113
495,Жамбылская,2036.0,96.83223254213954
467,Восточно-Казахстанская,2036.0,66.60368077055318
411,Алматинская,2036.0,10.841382868937217
887,г.Шымкент,2036.0,42.75999999999999
775,Туркестанская ,2036.0,6.599999999999909
383,Актюбинская,2036.0,80.32149982800183
607,Костанайская,2036.0,137.537186102511
691,Павлодарская,2036.0,842.7278224974216
915,Ұлытау,2036.0,105.0
859,г. Астана,2036.0,79.1185414516683
831,г. Алматы,2036.0,81.1630546955621
355,Акмолинская,2036.0,101.59342965256292
579,Карагандинская,2036.0,-205.14351565188554
663,Мангистауская,2036.0,80.51331269349839
523,Жетісу,2036.0,13.08
803,Южно-Казахстанская,2036.0,128.8967032967039
356,Акмолинская,2037.0,102.65214998280044
608,Костанайская,2037.0,138.619332645339
720,Республика Казахстан,2037.0,1830.4627826725118
888,г.Шымкент,2037.0,43.42000000000007
552,Западно-Казахстанская,2037.0,4.661678706570456
328,Абай,2037.0,39.0
692,Павлодарская,2037.0,852.1991331269346
636,Кызылординская,2037.0,13.935913312693629
580,Карагандинская,2037.0,-247.63680770553765
440,Атырауская,2037.0,234.52727898176818
496,Жамбылская,2037.0,99.45638114895155
664,Мангистауская,2037.0,80.99834881320942
804,Южно-Казахстанская,2037.0,132.02857142857192
860,г. Астана,2037.0,80.10553835569317
524,Жетісу,2037.0,13.08
748,Северо-Казахстанская,2037.0,66.72091503267978
916,Ұлытау,2037.0,105.0
468,Восточно-Казахстанская,2037.0,63.483350533195335
412,Алматинская,2037.0,8.743962848297087
776,Туркестанская ,2037.0,5.190000000000055
384,Актюбинская,2037.0,77.03109735122143
832,г. Алматы,2037.0,83.54437564499403
665,Мангистауская,2038.0,81.48338493292056
469,Восточно-Казахстанская,2038.0,60.36302029583749
413,Алматинская,2038.0,6.646542827657868
441,Атырауская,2038.0,239.01685586515305
889,г.Шымкент,2038.0,44.080000000000155
721,Республика Казахстан,2038.0,1803.9407360935656
917,Ұлытау,2038.0,105.0
749,Северо-Казахстанская,2038.0,66.49934640522878
833,г. Алматы,2038.0,85.92569659442688
861,г. Астана,2038.0,81.0925352597178
805,Южно-Казахстанская,2038.0,135.16043956043995
385,Актюбинская,2038.0,73.74069487444194
357,Акмолинская,2038.0,103.71087031303796
693,Павлодарская,2038.0,861.6704437564513
777,Туркестанская ,2038.0,3.7799999999997453
329,Абай,2038.0,39.0
525,Жетісу,2038.0,13.08
553,Западно-Казахстанская,2038.0,2.8574475404197983
581,Карагандинская,2038.0,-290.1300997592043
497,Жамбылская,2038.0,102.08052975576265
637,Кызылординская,2038.0,13.219711042311701
609,Костанайская,2038.0,139.70147918816656
414,Алматинская,2039.0,4.5491228070177385
694,Павлодарская,2039.0,871.1417543859643
862,г. Астана,2039.0,82.07953216374267
358,Акмолинская,2039.0,104.76959064327502
386,Актюбинская,2039.0,70.45029239766154
750,Северо-Казахстанская,2039.0,66.27777777777783
722,Республика Казахстан,2039.0,1777.4186895146122
